"LOCID" "description" "feature"
"6252" "LOC117689087" "beta-lactamase-like" "genome"
"6253" "LOC117689088" "uncharacterized protein LOC117689088" "genome"
"6254" "LOC105317597" "beta-lactamase" "genome"
"6255" "LOC105317584" "gamma-glutamyl hydrolase" "genome"
"6256" "LOC105317545" "DENN domain-containing protein 4C isoform X3" "genome"
"6257" "LOC105317529" "uncharacterized protein LOC105317529 isoform X1" "genome"
"6258" "LOC105317509" "uncharacterized protein LOC105317509" "genome"
"6259" "LOC105317499" "kxDL motif-containing protein 1-like" "genome"
"6260" "LOC105317490" "exocyst complex component 5" "genome"
"6261" "LOC105317481" "suppressor protein SRP40" "genome"
"6262" "LOC105317473" "LOW QUALITY PROTEIN: uncharacterized protein LOC105317473" "genome"
"6263" "LOC105317448" "thyroid adenoma-associated protein homolog" "genome"
"6264" "LOC105317465" "iron-sulfur cluster assembly 2 homolog, mitochondrial" "genome"
"6265" "LOC105317439" "deoxyribose-phosphate aldolase" "genome"
"6266" "LOC105346789" "calcium-independent protein kinase C isoform X1" "genome"
"6267" "LOC105346787" "kelch-like protein 41a isoform X2" "genome"
"6268" "LOC105346790" "very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3" "genome"
"6269" "LOC105317419" "transmembrane protein 179B" "genome"
"6270" "LOC105317409" "zinc finger CCCH domain-containing protein 14" "genome"
"6271" "LOC105317400" "signal recognition particle 14 kDa protein" "genome"
"6272" "LOC105317373" "uncharacterized protein LOC105317373" "genome"
"6273" "LOC105330998" "uncharacterized protein LOC105330998 isoform X2" "genome"
"6274" "LOC105330997" "conserved oligomeric Golgi complex subunit 2" "genome"
"6275" "LOC117689091" "ryncolin-4-like" "genome"
"6276" "LOC105330996" "fibroleukin" "genome"
"6277" "LOC105330342" "ficolin-1-like" "genome"
"6278" "LOC117689092" "ficolin-1-like" "genome"
"6279" "LOC105338313" "angiopoietin-related protein 7" "genome"
"6280" "LOC105338311" "SAYSvFN domain-containing protein 1" "genome"
"6281" "LOC105345099" "uncharacterized protein LOC105345099" "genome"
"6282" "LOC105338312" "uncharacterized protein LOC105338312" "genome"
"6283" "LOC105323992" "phytanoyl-CoA dioxygenase domain-containing protein 1" "genome"
"6284" "LOC105320097" "uncharacterized protein LOC105320097" "genome"
"6285" "LOC105320095" "uncharacterized protein LOC105320095" "genome"
"6286" "LOC105320098" "uncharacterized protein LOC105320098" "genome"
"6287" "LOC105320099" "protein YIF1B isoform X1" "genome"
"6288" "LOC105320100" "signal recognition particle 9 kDa protein" "genome"
"6289" "LOC105320101" "vasodilator-stimulated phosphoprotein isoform X8" "genome"
"6290" "LOC105320104" "centrosomal protein of 112 kDa isoform X7" "genome"
"6291" "LOC105320105" "N-alpha-acetyltransferase 20" "genome"
"6292" "LOC105320106" "follistatin-related protein 3" "genome"
"6293" "LOC105320107" "crooked neck-like protein 1" "genome"
"6294" "LOC105320109" "cilia- and flagella-associated protein 61" "genome"
"6295" "LOC105320108" "adenosine receptor A2b" "genome"
"6296" "LOC105320113" "rap guanine nucleotide exchange factor 4 isoform X4" "genome"
"6297" "LOC105320110" "claspin isoform X2" "genome"
"6298" "LOC105348542" "di-N-acetylchitobiase" "genome"
"6299" "LOC105348543" "perilipin-2 isoform X1" "genome"
"6300" "LOC105348544" "LOW QUALITY PROTEIN: insulin-like peptide receptor" "genome"
"6301" "LOC105349084" "transcription factor VBP" "genome"
"6302" "LOC105349083" "plasminogen isoform X2" "genome"
"6303" "LOC105349081" "beta-microseminoprotein" "genome"
"6304" "LOC105349080" "uncharacterized protein LOC105349080" "genome"
"6305" "LOC105349088" "uncharacterized protein LOC105349088" "genome"
"6306" "LOC117689094" "uncharacterized protein LOC117689094" "genome"
"6307" "LOC105336304" "LOW QUALITY PROTEIN: metallo-beta-lactamase domain-containing protein 1" "genome"
"6308" "LOC109619707" "uncharacterized protein LOC109619707" "genome"
"6309" "LOC117689095" "uncharacterized protein LOC117689095" "genome"
"6310" "LOC105349079" "prostate-associated microseminoprotein-like" "genome"
"6311" "LOC105349078" "beta-microseminoprotein-like" "genome"
"6312" "LOC105349075" "dmX-like protein 2 isoform X1" "genome"
"6313" "LOC105349074" "uncharacterized protein LOC105349074" "genome"
"6314" "LOC105349087" "uncharacterized protein LOC105349087 isoform X1" "genome"
"6315" "LOC105349072" "arylsulfatase B" "genome"
"6316" "LOC105349071" "arylsulfatase B isoform X2" "genome"
"6317" "LOC117689276" "arylsulfatase J-like" "genome"
"6318" "LOC105349073" "arylsulfatase B" "genome"
"6319" "LOC117689139" "uncharacterized protein LOC117689139" "genome"
"6320" "LOC117689140" "uncharacterized protein LOC117689140" "genome"
"6321" "LOC105332955" "tyrosinase-like protein 2" "genome"
"6322" "LOC105332956" "tyrosinase-like protein 1" "genome"
"6323" "LOC105348943" "tyrosinase-like protein 2" "genome"
"6324" "LOC105344040" "tyrosinase-like protein 2 precursor" "genome"
"6325" "LOC105344041" "zinc finger MYND domain-containing protein 15 isoform X2" "genome"
"6326" "LOC105344042" "nuclear receptor ROR-beta" "genome"
"6327" "LOC105344043" "cytochrome P450 2C8" "genome"
"6328" "LOC105340978" "cytochrome P450 2B4 isoform X1" "genome"
"6329" "LOC105330809" "LOW QUALITY PROTEIN: probable E3 ubiquitin-protein ligase HERC1" "genome"
"6330" "LOC105330808" "laccase-4 isoform X1" "genome"
"6331" "LOC105330806" "uncharacterized protein LOC105330806 isoform X3" "genome"
"6332" "LOC105326367" "LOW QUALITY PROTEIN: protein dead ringer homolog" "genome"
"6333" "LOC105326366" "U3 small nucleolar RNA-associated protein 15 homolog" "genome"
"6334" "LOC105326362" "pyruvate carboxylase, mitochondrial-like isoform X4" "genome"
"6335" "LOC105326365" "TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L" "genome"
"6336" "LOC105326361" "28S ribosomal protein S36, mitochondrial-like" "genome"
"6337" "LOC117689141" "uncharacterized protein LOC117689141" "genome"
"6338" "LOC117689142" "uncharacterized protein LOC117689142" "genome"
"6339" "LOC105326360" "uncharacterized protein LOC105326360" "genome"
"6340" "LOC105326384" "uncharacterized protein LOC105326384" "genome"
"6341" "LOC105326359" "protein starmaker-like" "genome"
"6342" "LOC105326358" "uncharacterized protein LOC105326358" "genome"
"6343" "LOC105326357" "solute carrier family 23 member 1 isoform X2" "genome"
"6344" "LOC105326383" "selenoprotein F-like" "genome"
"6345" "LOC105324557" "beta-hexosaminidase subunit beta isoform X1" "genome"
"6346" "LOC105324556" "uncharacterized protein LOC105324556" "genome"
"6347" "LOC105324555" "WD repeat-containing protein 41" "genome"
"6348" "LOC105327253" "protein amalgam isoform X1" "genome"
"6349" "LOC105327252" "translocon-associated protein subunit beta" "genome"
"6350" "LOC105327251" "uncharacterized protein LOC105327251" "genome"
"6351" "LOC105327250" "uncharacterized protein LOC105327250" "genome"
"6352" "LOC117689278" "uncharacterized protein LOC117689278 isoform X1" "genome"
"6353" "LOC105327248" "complement C1q-like protein 4" "genome"
"6354" "LOC105327246" "LOW QUALITY PROTEIN: muscarinic acetylcholine receptor M1" "genome"
"6355" "LOC105327244" "uncharacterized protein LOC105327244" "genome"
"6356" "LOC105327243" "zinc finger C2HC domain-containing protein 1C" "genome"
"6357" "LOC105327241" "D-beta-hydroxybutyrate dehydrogenase, mitochondrial isoform X2" "genome"
"6358" "LOC117689221" "uncharacterized protein LOC117689221" "genome"
"6359" "LOC105327239" "homeobox protein goosecoid" "genome"
"6360" "LOC105322803" "sodium channel protein para isoform X14" "genome"
"6361" "LOC105327237" "uncharacterized protein LOC105327237" "genome"
"6362" "LOC105327296" "allene oxide synthase-lipoxygenase protein isoform X2" "genome"
"6363" "LOC105327236" "allene oxide synthase-lipoxygenase protein" "genome"
"6364" "LOC105327235" "allene oxide synthase-lipoxygenase protein-like" "genome"
"6365" "LOC105319482" "allene oxide synthase-lipoxygenase protein" "genome"
"6366" "LOC105319481" "allene oxide synthase-lipoxygenase protein" "genome"
"6367" "LOC105319480" "probable ATP-dependent DNA helicase RecS" "genome"
"6368" "LOC117688897" "uncharacterized protein LOC117688897" "genome"
"6369" "LOC109617529" "uncharacterized protein LOC109617529" "genome"
"6370" "LOC105319479" "laccase-4" "genome"
"6371" "LOC109617528" "laccase-24" "genome"
"6372" "LOC117689259" "laccase-2-like" "genome"
"6373" "LOC105319478" "laccase-4" "genome"
"6374" "LOC117689434" "laccase-1-like isoform X2" "genome"
"6375" "LOC105319477" "laccase-4 isoform X1" "genome"
"6376" "LOC105319476" "proteoglycan 4-like" "genome"
"6377" "LOC109617527" "putative nuclease HARBI1" "genome"
"6378" "LOC109619702" "uncharacterized protein LOC109619702" "genome"
"6379" "LOC105317118" "L-ascorbate oxidase isoform X3" "genome"
"6380" "LOC117689152" "uncharacterized protein LOC117689152" "genome"
"6381" "LOC105318921" "lipoxygenase homology domain-containing protein 1 isoform X2" "genome"
"6382" "LOC105318922" "steroid hormone receptor ERR2 isoform X1" "genome"
"6383" "LOC105318924" "uncharacterized protein LOC105318924" "genome"
"6384" "LOC105318925" "uncharacterized protein LOC105318925 isoform X1" "genome"
"6385" "LOC105337613" "kelch domain-containing protein 2" "genome"
"6386" "LOC105337611" "microtubule-associated protein futsch isoform X1" "genome"
"6387" "LOC117689230" "uncharacterized protein LOC117689230" "genome"
"6388" "LOC105337615" "von Willebrand factor A domain-containing protein 7 isoform X2" "genome"
"6389" "LOC105338508" "von Willebrand factor A domain-containing protein 7" "genome"
"6390" "LOC105338509" "gonadotropin-releasing hormone II receptor" "genome"
"6391" "LOC105317568" "Golgi phosphoprotein 3 homolog sauron" "genome"
"6392" "LOC105319333" "glutamate receptor" "genome"
"6393" "LOC105319332" "mucosa-associated lymphoid tissue lymphoma translocation protein 1" "genome"
"6394" "LOC105319329" "laccase domain-containing protein 1" "genome"
"6395" "LOC105319330" "uncharacterized protein LOC105319330 isoform X2" "genome"
"6396" "LOC105327607" "solute carrier family 22 member 5-like" "genome"
"6397" "LOC105327598" "organic cation transporter protein" "genome"
"6398" "LOC105327588" "organic cation transporter-like protein" "genome"
"6399" "LOC105327577" "organic cation transporter-like protein" "genome"
"6400" "LOC105327569" "organic cation transporter protein" "genome"
"6401" "LOC117689155" "putative nuclease HARBI1" "genome"
"6402" "LOC105327562" "organic cation transporter protein-like isoform X1" "genome"
"6403" "LOC117688843" "uncharacterized protein LOC117688843" "genome"
"6404" "LOC105346026" "solute carrier family 22 member 8" "genome"
"6405" "LOC109619330" "uncharacterized protein LOC109619330" "genome"
"6406" "LOC117689240" "uncharacterized protein LOC117689240" "genome"
"6407" "LOC105346016" "ribonuclease P/MRP protein subunit POP5" "genome"
"6408" "LOC105346010" "kynurenine 3-monooxygenase" "genome"
"6409" "LOC105346002" "ensconsin isoform X1" "genome"
"6410" "LOC117680291" "heat shock protein 83-like" "genome"
"6411" "LOC105345989" "heat shock protein 83-like" "genome"
"6412" "LOC105345974" "uncharacterized protein LOC105345974 isoform X1" "genome"
"6413" "LOC105345956" "WD repeat-containing protein 20 isoform X3" "genome"
"6414" "LOC105345955" "ADP-dependent glucokinase-like" "genome"
"6415" "LOC105345944" "kelch domain-containing protein 2" "genome"
"6416" "LOC105345936" "peroxiredoxin-5, mitochondrial" "genome"
"6417" "LOC117689243" "peroxiredoxin-5, mitochondrial-like" "genome"
"6418" "LOC105345919" "replication stress response regulator SDE2" "genome"
"6419" "LOC105345926" "synaptojanin-2-binding protein isoform X1" "genome"
"6420" "LOC105345907" "uncharacterized protein C19orf47 isoform X1" "genome"
"6421" "LOC105345875" "serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform X1" "genome"
"6422" "LOC105345880" "glutathione peroxidase 2-like" "genome"
"6423" "LOC105345890" "ankyrin repeat and EF-hand domain-containing protein 1 isoform X1" "genome"
"6424" "LOC105345845" "MAPK/MAK/MRK overlapping kinase isoform X2" "genome"
"6425" "LOC105347277" "uncharacterized protein LOC105347277 isoform X1" "genome"
"6426" "LOC105347276" "PHD finger protein 10 isoform X1" "genome"
"6427" "LOC105347275" "double homeobox protein B" "genome"
"6428" "LOC105347274" "leucine-rich repeat-containing protein 74B isoform X2" "genome"
"6429" "LOC105347272" "putative ankyrin repeat protein RF_0381" "genome"
"6430" "LOC105345132" "titin homolog isoform X1" "genome"
"6431" "LOC117689245" "uncharacterized protein LOC117689245" "genome"
"6432" "LOC105345210" "uncharacterized protein LOC105345210" "genome"
"6433" "LOC117689246" "uncharacterized protein LOC117689246 isoform X5" "genome"
"6434" "LOC105345196" "uncharacterized protein LOC105345196" "genome"
"6435" "LOC105345230" "interaptin" "genome"
"6436" "LOC105345221" "golgin subfamily A member 6-like protein 6" "genome"
"6437" "LOC105345244" "nuclear valosin-containing protein-like" "genome"
"6438" "LOC105345240" "uncharacterized protein LOC105345240" "genome"
"6439" "LOC109620850" "uncharacterized protein LOC109620850" "genome"
"6440" "LOC105345252" "uncharacterized protein LOC105345252" "genome"
"6441" "LOC105345263" "uncharacterized protein LOC105345263" "genome"
"6442" "LOC117689247" "uncharacterized protein LOC117689247" "genome"
"6443" "LOC109620855" "beta-1,3-galactosyltransferase 1" "genome"
"6444" "LOC105345320" "exportin-1" "genome"
"6445" "LOC105345327" "protein FAM161A" "genome"
"6446" "LOC105345345" "ubiquinone biosynthesis monooxygenase COQ6, mitochondrial" "genome"
"6447" "LOC105345338" "uncharacterized protein LOC105345338" "genome"
"6448" "LOC105345357" "5'-3' exoribonuclease 2 isoform X1" "genome"
"6449" "LOC105345371" "homeobox protein Nkx-2.1" "genome"
"6450" "LOC105323798" "mannan endo-1,4-beta-mannosidase" "genome"
"6451" "LOC105339217" "uncharacterized protein LOC105339217" "genome"
"6452" "LOC105339215" "medium-wave-sensitive opsin 1" "genome"
"6453" "LOC105339214" "uncharacterized protein LOC105339214" "genome"
"6454" "LOC105339212" "cyclic AMP receptor-like protein A" "genome"
"6455" "LOC105339211" "zinc finger protein 37" "genome"
"6456" "LOC105320146" "synaptotagmin-7" "genome"
"6457" "LOC105330795" "protocadherin Fat 4" "genome"
"6458" "LOC105330789" "uncharacterized protein LOC105330789" "genome"
"6459" "LOC105330790" "uncharacterized protein LOC105330790" "genome"
"6460" "LOC105330791" "CAAX prenyl protease 2" "genome"
"6461" "LOC105330793" "sarcoplasmic reticulum histidine-rich calcium-binding protein" "genome"
"6462" "LOC105330792" "dynactin subunit 3 isoform X1" "genome"
"6463" "LOC105330794" "protein phosphatase 1 regulatory subunit 21 isoform X1" "genome"
"6464" "LOC105342042" "protein lingerer isoform X1" "genome"
"6465" "LOC105342043" "6-pyruvoyl tetrahydrobiopterin synthase" "genome"
"6466" "LOC105342045" "TM2 domain-containing protein 3" "genome"
"6467" "LOC105342046" "uncharacterized protein LOC105342046 isoform X1" "genome"
"6468" "LOC117689034" "short-chain collagen C4-like" "genome"
"6469" "LOC105342406" "neural cell adhesion molecule 1 isoform X1" "genome"
"6470" "LOC105342405" "uncharacterized protein LOC105342405" "genome"
"6471" "LOC117689036" "uncharacterized protein LOC117689036" "genome"
"6472" "LOC117689035" "uncharacterized protein LOC117689035" "genome"
"6473" "LOC117689033" "limbic system-associated membrane protein-like" "genome"
"6474" "LOC117689143" "ADAMTS-like protein 4" "genome"
"6475" "LOC105330768" "uncharacterized protein LOC105330768 isoform X2" "genome"
"6476" "LOC117689144" "uncharacterized protein LOC117689144" "genome"
"6477" "LOC117689321" "short-chain collagen C4-like" "genome"
"6478" "LOC105346296" "hemicentin-2 isoform X1" "genome"
"6479" "LOC117689040" "lachesin-like" "genome"
"6480" "LOC105346308" "ADAMTS-like protein 4 isoform X4" "genome"
"6481" "LOC105346295" "uncharacterized protein LOC105346295" "genome"
"6482" "LOC105346294" "protein FAM98A" "genome"
"6483" "LOC105346293" "26S proteasome non-ATPase regulatory subunit 8" "genome"
"6484" "LOC105346292" "uncharacterized protein LOC105346292 isoform X2" "genome"
"6485" "LOC105319833" "microtubule-associated proteins 1A/1B light chain 3C" "genome"
"6486" "LOC105319832" "TALPID3 protein isoform X2" "genome"
"6487" "LOC105319831" "probable E3 ubiquitin-protein ligase IRF2BPL" "genome"
"6488" "LOC105319830" "mitochondrial import inner membrane translocase subunit Tim9" "genome"
"6489" "LOC105319828" "acetyl-coenzyme A synthetase 2-like, mitochondrial" "genome"
"6490" "LOC105319829" "uncharacterized protein LOC105319829 isoform X1" "genome"
"6491" "LOC105319827" "adenylosuccinate synthetase" "genome"
"6492" "LOC105319826" "DNA replication complex GINS protein PSF1" "genome"
"6493" "LOC105319825" "uncharacterized protein LOC105319825 isoform X2" "genome"
"6494" "LOC105319824" "NF-kappa-B inhibitor alpha-like" "genome"
"6495" "LOC105325725" "zinc finger CCCH domain-containing protein 13 isoform X1" "genome"
"6496" "LOC105325726" "transcription intermediary factor 1-beta" "genome"
"6497" "LOC105325727" "uncharacterized protein LOC105325727" "genome"
"6498" "LOC105325728" "ERO1-like protein beta isoform X2" "genome"
"6499" "LOC105325730" "protein arginine methyltransferase NDUFAF7, mitochondrial-like" "genome"
"6500" "LOC117689044" "uncharacterized protein LOC117689044" "genome"
"6501" "LOC105325732" "B9 domain-containing protein 2 isoform X2" "genome"
"6502" "LOC105325733" "tyrosyl-DNA phosphodiesterase 1" "genome"
"6503" "LOC105317170" "uncharacterized protein LOC105317170 isoform X6" "genome"
"6504" "LOC105317169" "protein mono-ADP-ribosyltransferase PARP16" "genome"
"6505" "LOC105317172" "adenylate kinase isoenzyme 6" "genome"
"6506" "LOC105317173" "protein PFC0760c" "genome"
"6507" "LOC117689045" "G2/mitotic-specific cyclin-B-like" "genome"
"6508" "LOC117689051" "uncharacterized protein LOC117689051" "genome"
"6509" "LOC105317176" "spindle and kinetochore-associated protein 1" "genome"
"6510" "LOC117689049" "cilia- and flagella-associated protein 53-like" "genome"
"6511" "LOC117689046" "DNA polymerase kappa-like" "genome"
"6512" "LOC105317181" "ceramide transfer protein" "genome"
"6513" "LOC105317182" "uncharacterized protein LOC105317182 isoform X1" "genome"
"6514" "LOC117689048" "uncharacterized protein LOC117689048" "genome"
"6515" "LOC105317174" "G2/mitotic-specific cyclin-B" "genome"
"6516" "LOC105317175" "uncharacterized protein LOC105317175" "genome"
"6517" "LOC117689050" "spindle and kinetochore-associated protein 1-like" "genome"
"6518" "LOC105317177" "cilia- and flagella-associated protein 53" "genome"
"6519" "LOC105317179" "DNA polymerase kappa" "genome"
"6520" "LOC117689047" "ceramide transfer protein-like" "genome"
"6521" "LOC117689052" "uncharacterized protein LOC117689052 isoform X1" "genome"
"6522" "LOC105317183" "uncharacterized protein LOC105317183 isoform X2" "genome"
"6523" "LOC105317185" "uncharacterized protein KIAA0825" "genome"
"6524" "LOC105317186" "ribosome biogenesis protein NSA2 homolog" "genome"
"6525" "LOC105317188" "E3 ubiquitin-protein ligase mind-bomb isoform X1" "genome"
"6526" "LOC105338744" "aquaporin-10 isoform X1" "genome"
"6527" "LOC105338754" "coiled-coil domain-containing protein 87 isoform X3" "genome"
"6528" "LOC117689053" "tRNA (adenine(37)-N6)-methyltransferase-like isoform X2" "genome"
"6529" "LOC105338851" "tRNA (adenine(37)-N6)-methyltransferase" "genome"
"6530" "LOC105338740" "high-affinity choline transporter 1" "genome"
"6531" "LOC105338696" "secretory carrier-associated membrane protein 1 isoform X7" "genome"
"6532" "LOC105338683" "AP-3 complex subunit beta-2 isoform X1" "genome"
"6533" "LOC105338673" "39S ribosomal protein L54, mitochondrial" "genome"
"6534" "LOC105338665" "spermatogenesis-associated protein 5-like protein 1" "genome"
"6535" "LOC105338655" "chondroitin sulfate proteoglycan 4" "genome"
"6536" "LOC105338640" "zinc finger RNA-binding protein isoform X4" "genome"
"6537" "LOC105338621" "probable oligoribonuclease" "genome"
"6538" "LOC105338630" "N-methyl-L-tryptophan oxidase" "genome"
"6539" "LOC105338612" "temptin" "genome"
"6540" "LOC105338603" "uncharacterized protein LOC105338603" "genome"
"6541" "LOC105338595" "cactin" "genome"
"6542" "LOC105338587" "uncharacterized protein LOC105338587" "genome"
"6543" "LOC105338579" "collagen alpha-1(XII) chain" "genome"
"6544" "LOC105338569" "uncharacterized protein LOC105338569" "genome"
"6545" "LOC105338560" "tyrosine-protein kinase receptor Tie-1" "genome"
"6546" "LOC105338541" "uncharacterized protein LOC105338541" "genome"
"6547" "LOC105338530" "expansin-YoaJ" "genome"
"6548" "LOC105338490" "uncharacterized protein LOC105338490 isoform X2" "genome"
"6549" "LOC117689058" "uncharacterized protein LOC117689058" "genome"
"6550" "LOC105338459" "uncharacterized protein LOC105338459 isoform X2" "genome"
"6551" "LOC117689054" "uncharacterized protein LOC117689054" "genome"
"6552" "LOC105344818" "uncharacterized protein LOC105344818" "genome"
"6553" "LOC105335400" "uncharacterized protein LOC105335400" "genome"
"6554" "LOC117689055" "uncharacterized protein LOC117689055 isoform X2" "genome"
"6555" "LOC105345671" "uncharacterized protein LOC105345671 isoform X2" "genome"
"6556" "LOC105338478" "uncharacterized protein LOC105338478" "genome"
"6557" "LOC117689057" "uncharacterized protein LOC117689057" "genome"
"6558" "LOC117689056" "uncharacterized protein LOC117689056" "genome"
"6559" "LOC105335394" "uncharacterized protein LOC105335394 isoform X3" "genome"
"6560" "LOC105341367" "uncharacterized protein LOC105341367" "genome"
"6561" "LOC105337192" "leukocyte tyrosine kinase receptor isoform X1" "genome"
"6562" "LOC105321369" "uncharacterized protein LOC105321369" "genome"
"6563" "LOC105341794" "sprouty-related, EVH1 domain-containing protein 2 isoform X2" "genome"
"6564" "LOC105341793" "solute carrier organic anion transporter family member 4A1 isoform X1" "genome"
"6565" "LOC105341792" "cyclin-dependent kinase 2-interacting protein" "genome"
"6566" "LOC105341791" "cytochrome P450 4F2" "genome"
"6567" "LOC105341789" "A disintegrin and metalloproteinase with thrombospondin motifs 6" "genome"
"6568" "LOC117680380" "papilin-like isoform X1" "genome"
"6569" "LOC105341788" "uncharacterized protein LOC105341788" "genome"
"6570" "LOC105341787" "NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3" "genome"
"6571" "LOC105341821" "DDB1- and CUL4-associated factor 15" "genome"
"6572" "LOC117688923" "uncharacterized protein LOC117688923" "genome"
"6573" "LOC117688924" "uncharacterized protein LOC117688924" "genome"
"6574" "LOC105324071" "ribosome-releasing factor 2, mitochondrial isoform X1" "genome"
"6575" "LOC105341783" "calmodulin isoform X2" "genome"
"6576" "LOC105341779" "neo-calmodulin" "genome"
"6577" "LOC105341778" "serine palmitoyltransferase small subunit A" "genome"
"6578" "LOC105341777" "proto-oncogene c-Fos" "genome"
"6579" "LOC105341775" "fos-related antigen 1" "genome"
"6580" "LOC105341776" "leucine-rich repeat-containing protein 74B" "genome"
"6581" "LOC105341772" "copper chaperone for superoxide dismutase" "genome"
"6582" "LOC105341773" "uncharacterized protein LOC105341773" "genome"
"6583" "LOC105341771" "uncharacterized protein LOC105341771" "genome"
"6584" "LOC105341770" "AP-5 complex subunit mu-1" "genome"
"6585" "LOC105341769" "selenoprotein N-like isoform X2" "genome"
"6586" "LOC105341818" "GTP-binding protein 2" "genome"
"6587" "LOC105341768" "kinesin-like protein KIF6 isoform X1" "genome"
"6588" "LOC105341767" "disheveled-associated activator of morphogenesis 1-A isoform X1" "genome"
"6589" "LOC105341765" "ribosome biogenesis protein NOP53 isoform X1" "genome"
"6590" "LOC105341766" "prostaglandin reductase 2 isoform X1" "genome"
"6591" "LOC105341763" "endoplasmic reticulum lectin 1" "genome"
"6592" "LOC105341762" "transmembrane protein 87A isoform X1" "genome"
"6593" "LOC105341761" "carboxypeptidase Q" "genome"
"6594" "LOC105341760" "uncharacterized protein LOC105341760" "genome"
"6595" "LOC105341759" "mitochondrial import receptor subunit TOM20 homolog" "genome"
"6596" "LOC105324454" "serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform isoform X1" "genome"
"6597" "LOC105324453" "serine/threonine-protein kinase mrck-1 isoform X1" "genome"
"6598" "LOC117680434" "sprT-like domain-containing protein Spartan" "genome"
"6599" "LOC117688926" "uncharacterized protein LOC117688926" "genome"
"6600" "LOC105341755" "protein pellino-like" "genome"
"6601" "LOC105344849" "lipopolysaccharide-binding protein-like" "genome"
"6602" "LOC117688929" "lipopolysaccharide-binding protein-like" "genome"
"6603" "LOC117688930" "uncharacterized protein LOC117688930" "genome"
"6604" "LOC105341756" "sprT-like domain-containing protein Spartan" "genome"
"6605" "LOC117680442" "protein pellino-like isoform X1" "genome"
"6606" "LOC105341754" "thyroid receptor-interacting protein 11 isoform X1" "genome"
"6607" "LOC105341752" "uncharacterized protein LOC105341752" "genome"
"6608" "LOC105341751" "uncharacterized protein LOC105341751 isoform X1" "genome"
"6609" "LOC105341748" "uncharacterized protein LOC105341748" "genome"
"6610" "LOC105346431" "nucleoside diphosphate kinase 6-like" "genome"
"6611" "LOC117688932" "uncharacterized protein LOC117688932 isoform X5" "genome"
"6612" "LOC105346430" "uncharacterized protein LOC105346430" "genome"
"6613" "LOC105346429" "protein stum homolog" "genome"
"6614" "LOC105334747" "uncharacterized protein LOC105334747" "genome"
"6615" "LOC105318641" "spastin isoform X3" "genome"
"6616" "LOC105318636" "BTB/POZ domain-containing protein 6" "genome"
"6617" "LOC105318635" "WD repeat-containing protein 25" "genome"
"6618" "LOC105318637" "tryptophan--tRNA ligase, cytoplasmic" "genome"
"6619" "LOC105318638" "leucine-rich repeat-containing protein 73" "genome"
"6620" "LOC105318639" "RNA transcription, translation and transport factor protein" "genome"
"6621" "LOC105335651" "1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X19" "genome"
"6622" "LOC117688933" "uncharacterized protein LOC117688933 isoform X1" "genome"
"6623" "LOC105335669" "DNA annealing helicase and endonuclease ZRANB3 isoform X1" "genome"
"6624" "LOC105335652" "metastasis-associated protein MTA3 isoform X1" "genome"
"6625" "LOC105335654" "integrator complex subunit 7" "genome"
"6626" "LOC105335656" "COMM domain-containing protein 1" "genome"
"6627" "LOC105335655" "eukaryotic initiation factor 4A-III" "genome"
"6628" "LOC105335659" "HHIP-like protein 1 isoform X1" "genome"
"6629" "LOC105335657" "cytoglobin-1" "genome"
"6630" "LOC105335660" "uncharacterized protein LOC105335660 isoform X2" "genome"
"6631" "LOC105335661" "HEAT repeat-containing protein 5B isoform X1" "genome"
"6632" "LOC117688940" "uncharacterized protein LOC117688940 isoform X2" "genome"
"6633" "LOC117689323" "HEAT repeat-containing protein 5B-like" "genome"
"6634" "LOC117688938" "HEAT repeat-containing protein 5B-like" "genome"
"6635" "LOC117688937" "uncharacterized protein LOC117688937 isoform X2" "genome"
"6636" "LOC117688936" "uncharacterized protein LOC117688936" "genome"
"6637" "LOC105340408" "tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A" "genome"
"6638" "LOC117688939" "leucine-rich repeat-containing protein 1-like" "genome"
"6639" "LOC117688935" "uncharacterized protein LOC117688935" "genome"
"6640" "LOC117688934" "HEAT repeat-containing protein 5B-like isoform X1" "genome"
"6641" "LOC105340407" "uncharacterized protein LOC105340407" "genome"
"6642" "LOC117688941" "tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A-like" "genome"
"6643" "LOC105340409" "leucine-rich repeat-containing protein 1" "genome"
"6644" "LOC105340413" "isthmin-1 isoform X1" "genome"
"6645" "LOC105340412" "(R)-specific enoyl-CoA hydratase" "genome"
"6646" "LOC105340414" "dehydrogenase/reductase SDR family member 7" "genome"
"6647" "LOC105340415" "tectonin beta-propeller repeat-containing protein 2 isoform X1" "genome"
"6648" "LOC117688942" "uncharacterized protein LOC117688942" "genome"
"6649" "LOC105340417" "uncharacterized protein LOC105340417" "genome"
"6650" "LOC105340418" "ribonuclease H2 subunit C" "genome"
