id	gene_short_name
LOC105319327	E3 ubiquitin-protein ligase Trim36
LOC117689256	uncharacterized LOC117689256_ncRNA
LOC117689337	E3 ubiquitin-protein ligase TRIM71-like
LOC117689257	uncharacterized LOC117689257
LOC105342582	T-complex protein 1 subunit gamma
LOC117689258	uncharacterized LOC117689258
LOC117689338	uncharacterized LOC117689338
LOC117689339	uncharacterized LOC117689339
LOC105317670	uncharacterized LOC105317670_ncRNA
LOC105342581	E3 ubiquitin-protein ligase TRIM36
LOC109619024	uncharacterized LOC109619024
LOC105330539	protein unc-13 homolog B
LOC117689394	coiled-coil domain-containing protein 112-like
LOC117689396	uncharacterized LOC117689396
LOC105344125	coiled-coil domain-containing protein 112
LOC117680448	peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase-like
LOC105344129	uncharacterized LOC105344129
LOC105320610	probable ATP-dependent RNA helicase DHX34
LOC117680659	protein FAM136A-like
LOC117680521	protein FAM136A-like
LOC105344133	DNA polymerase epsilon subunit 2
LOC105344132	N-acetylated-alpha-linked acidic dipeptidase 2
LOC105344131	N-acetylated-alpha-linked acidic dipeptidase 2
Trnaa-cgc	NA
LOC117689340	RING finger protein 207-like
Trnaa-agc_1	NA
Trnaa-agc_2	NA
Trnaa-agc_3	NA
Trnaa-agc_4	NA
LOC117689400	tripartite motif-containing protein 45-like
Trnaa-agc_5	NA
Trnaa-agc_6	NA
LOC117689397	uncharacterized LOC117689397
LOC117689402	uncharacterized LOC117689402_ncRNA
Trnaa-agc_7	NA
Trnaa-agc_8	NA
Trnaa-agc_9	NA
Trnaa-agc_10	NA
Trnak-uuu_12	NA
LOC105344127	uncharacterized LOC105344127
LOC109620885	coiled-coil domain-containing protein 112-like
LOC105345538	Tripartite motif-containing protein 45
LOC105344128	peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
LOC105320607	golgin subfamily B member 1
LOC105344130	probable ATP-dependent RNA helicase DHX34
LOC105320611	protein FAM136A-like
LOC117689401	protein FAM136A-like
LOC117689398	DNA polymerase epsilon subunit 2-like
LOC117689395	N-acetylated-alpha-linked acidic dipeptidase 2-like
LOC117689399	N-acetylated-alpha-linked acidic dipeptidase 2-like
Trnaa-cgc_1	NA
Trnaa-agc_11	NA
Trnaa-agc_12	NA
Trnaa-agc_13	NA
Trnaa-agc_14	NA
Trnaa-agc_15	NA
Trnaa-agc_16	NA
Trnaa-agc_17	NA
Trnaa-agc_18	NA
Trnaa-agc_19	NA
Trnaa-agc_20	NA
Trnak-uuu_13	NA
LOC105329513	dual specificity protein phosphatase 10
LOC105329514	kelch-like protein 23
LOC105329515	uncharacterized LOC105329515
LOC105329516	transcription initiation factor IIA subunit 1
LOC105329517	follicle-stimulating hormone receptor
LOC105329518	protein starmaker
LOC105329519	dynein light chain 1, axonemal
LOC105329521	uncharacterized LOC105329521
LOC105329522	uncharacterized LOC105329522
LOC105344326	atlastin-2
LOC117689403	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like
LOC105337162	uncharacterized LOC105337162
LOC105337163	uncharacterized LOC105337163
LOC117689404	uncharacterized LOC117689404_ncRNA
LOC105338812	uncharacterized LOC105338812
LOC117689405	protein AMBP-like
LOC117689406	uncharacterized LOC117689406
LOC105337170	BPTI/Kunitz domain-containing protein 5
LOC117689407	proline-rich proteoglycan 2-like
LOC117689408	keratin, type I cytoskeletal 9-like
LOC117689410	uncharacterized LOC117689410
LOC117689409	probable caffeoyl-CoA O-methyltransferase 1
LOC117689411	uncharacterized LOC117689411_ncRNA
LOC105329596	GTPase IMAP family member 4-like
LOC117689412	uncharacterized LOC117689412_ncRNA
LOC117689414	GTPase IMAP family member 4-like
LOC105346672	immune-associated nucleotide-binding protein 12
LOC117689413	GTPase IMAP family member 4-like
LOC117680328	GTPase IMAP family member 4-like
LOC105346932	UDP-galactose transporter senju
LOC109621065	uncharacterized LOC109621065_ncRNA
LOC109621066	E3 ubiquitin-protein ligase TRIM71
LOC117689416	uncharacterized LOC117689416_ncRNA
LOC117689415	tripartite motif-containing protein 2-like
LOC117689417	E3 ubiquitin/ISG15 ligase TRIM25-like
LOC117689418	translation initiation factor IF-2-like
LOC105346942	uncharacterized LOC105346942
LOC105346929	uncharacterized LOC105346929
LOC117689279	exportin-5-like
LOC105326453	estrogen receptor beta
LOC105337655	inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5
LOC105337654	uncharacterized LOC105337654
LOC105344749	E3 ubiquitin-protein ligase TRIM71
LOC105319280	poly [ADP-ribose] polymerase tankyrase-like
LOC117689550	small nucleolar RNA U85_ncRNA
LOC105336783	probable palmitoyltransferase ZDHHC24
LOC105336785	UBX domain-containing protein 1
LOC105336786	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin
LOC105336797	uncharacterized LOC105336797
LOC105336787	uncharacterized LOC105336787
LOC117689341	uncharacterized protein K02A2.6-like
LOC105336788	calmodulin
LOC105336789	centrosomal protein of 128 kDa
LOC105336790	tetratricopeptide repeat protein 9C
LOC105336792	eukaryotic translation initiation factor 3 subunit K
LOC105324679	TATA box-binding protein-associated factor RNA polymerase I subunit A
LOC105324681	sex-determining region Y protein
LOC105336795	paired mesoderm homeobox protein 2
LOC105324205	interaptin
LOC105337766	protein ZNRD2
LOC105337767	linear gramicidin synthase subunit D-like
LOC105337768	heavy metal-associated isoprenylated plant protein 33-like
LOC105330090	dimethylaniline monooxygenase [N-oxide-forming] 5
LOC105330091	dimethylaniline monooxygenase [N-oxide-forming] 5
LOC105330102	cytochrome P450 4F12
LOC117689280	uncharacterized LOC117689280
LOC105330093	CWF19-like protein 2
LOC117689281	uncharacterized LOC117689281_ncRNA
LOC117689282	uncharacterized LOC117689282
LOC117689283	uncharacterized LOC117689283
LOC105330103	uncharacterized LOC105330103
LOC105330095	uncharacterized LOC105330095
LOC105330104	5-formyltetrahydrofolate cyclo-ligase
LOC105321334	sodium-dependent proline transporter
LOC105340053	cytochrome c oxidase subunit 5A, mitochondrial
LOC105340052	protein JTB-like
LOC105334196	protein toll
LOC105334195	uncharacterized LOC105334195
LOC117689285	uncharacterized LOC117689285_ncRNA
LOC117689284	uncharacterized LOC117689284
LOC117689342	uncharacterized LOC117689342
LOC105334194	uncharacterized LOC105334194
LOC105334193	uncharacterized LOC105334193
LOC105334192	uncharacterized LOC105334192_ncRNA
LOC109619516	uncharacterized LOC109619516_ncRNA
LOC105334190	sphingosine-1-phosphate phosphatase 2
LOC105334189	T-complex protein 1 subunit delta
LOC105345086	denticleless protein homolog
LOC105342174	uncharacterized LOC105342174_ncRNA
LOC105345088	ribonuclease Oy-like
LOC117689286	uncharacterized LOC117689286_ncRNA
LOC117689287	uncharacterized LOC117689287_ncRNA
LOC105333097	uncharacterized LOC105333097_ncRNA
LOC105341925	uncharacterized LOC105341925
LOC105348370	uncharacterized LOC105348370
LOC117689288	uncharacterized LOC117689288_ncRNA
LOC105345089	uncharacterized LOC105345089_ncRNA
LOC117689343	uncharacterized LOC117689343
LOC105345090	uncharacterized LOC105345090_ncRNA
LOC117689495	uncharacterized LOC117689495_ncRNA
LOC105341295	zinc finger BED domain-containing protein 1-like
LOC117689496	uncharacterized LOC117689496
LOC105335609	uncharacterized LOC105335609
LOC105329559	uncharacterized LOC105329559
LOC105347847	uncharacterized LOC105347847_ncRNA
LOC117689497	uncharacterized LOC117689497_ncRNA
LOC105347845	ribonuclease Oy-like
LOC117689498	uncharacterized LOC117689498_ncRNA
LOC105341145	tigger transposable element-derived protein 4-like
LOC105341127	uncharacterized LOC105341127_ncRNA
LOC117689499	uncharacterized LOC117689499
LOC117689500	uncharacterized LOC117689500
LOC105329230	uncharacterized LOC105329230
LOC109620332	jerky protein homolog-like
LOC117689501	uncharacterized metal-dependent hydrolase HI_0454-like
LOC105341131	neuroglobin
LOC105341133	solute carrier family 46 member 3
LOC105346979	proton-coupled folate transporter
LOC105346980	melatonin-related receptor
LOC117689502	uncharacterized LOC117689502
LOC105323044	uncharacterized LOC105323044
LOC105323043	leucine-rich repeat-containing protein 9-like
LOC117689503	uncharacterized LOC117689503
LOC105318137	uncharacterized LOC105318137
LOC105318136	uncharacterized transmembrane protein DDB_G0289901-like
LOC105318135	uncharacterized LOC105318135
LOC105318133	jacalin-related lectin 5-like
LOC105318132	keratin, type II cytoskeletal 2 epidermal-like
LOC105318140	uncharacterized protein DDB_G0283357-like
LOC105318131	uncharacterized protein DDB_G0271670
LOC105318139	uncharacterized transmembrane protein DDB_G0289901-like
LOC105318130	uncharacterized LOC105318130
LOC105318129	RNA-binding protein 25
LOC105318128	30S ribosomal protein S12
LOC105318127	mitochondrial 2-oxodicarboxylate carrier
LOC105318126	uncharacterized LOC105318126
LOC105318125	protein Smaug homolog 1
LOC105318138	GTP cyclohydrolase 1
LOC117689504	uncharacterized LOC117689504_ncRNA
LOC105320459	photoreceptor-specific nuclear receptor
LOC105320461	transmembrane 6 superfamily member 2
LOC105320462	hypothetical protein
LOC105320463	tyrosine-protein kinase CSK
LOC109617656	sex peptide receptor-like
LOC105326966	uncharacterized LOC105326966_ncRNA
LOC105320465	uncharacterized LOC105320465
LOC105333325	uncharacterized LOC105333325
LOC105324671	uncharacterized LOC105324671
LOC105336309	uncharacterized LOC105336309
LOC105343265	protein yippee-like 5
LOC105343266	EH domain-containing protein 3
LOC105343263	GTP cyclohydrolase 1 feedback regulatory protein
LOC105343264	regulator of microtubule dynamics protein 2
LOC105343262	hypothetical protein
LOC105343261	osteoclast-stimulating factor 1
LOC117689314	uncharacterized LOC117689314_ncRNA
LOC105343260	40S ribosomal protein S17
LOC105343259	probable UDP-sugar transporter protein SLC35A4
LOC105343258	F-box only protein 28
LOC105343256	thioredoxin-related transmembrane protein 1
LOC105343255	uncharacterized LOC105343255
LOC109620589	uncharacterized LOC109620589
LOC105343269	lysophosphatidylserine lipase ABHD12
LOC105347679	lysophosphatidylserine lipase ABHD12-like
LOC105347677	uncharacterized LOC105347677
LOC109621125	histone H3.3-like
LOC105347675	adenylyltransferase and sulfurtransferase MOCS3
LOC105347676	uncharacterized LOC105347676
LOC105347674	glycine-rich cell wall structural protein-like
LOC105338975	uncharacterized LOC105338975
LOC105338991	circularly permutated Ras protein 1
LOC105339012	codanin-1
LOC105324260	nuclear nucleic acid-binding protein C1D
LOC105324261	cilia- and flagella-associated protein 36
LOC105342606	protein unc-79 homolog
LOC117689315	uncharacterized LOC117689315
LOC117689316	uncharacterized LOC117689316
LOC117689317	uncharacterized LOC117689317
LOC117689318	E3 ubiquitin-protein ligase TRIM71-like
LOC105318013	regulator of G-protein signaling 7
LOC105318456	mammalian ependymin-related protein 1-like
LOC105318457	mammalian ependymin-related protein 1
LOC117689344	tigger transposable element-derived protein 4-like_partial mRNA
LOC105318458	mammalian ependymin-related protein 1
LOC105318459	5-hydroxytryptamine receptor 1A
LOC105318460	atypical kinase COQ8B, mitochondrial
LOC105318461	RNA-binding protein Nova-1
Trnai-uau	NA
LOC105318480	amine oxidase [flavin-containing] A
LOC117689319	uncharacterized LOC117689319_ncRNA
LOC105346121	putative nuclease HARBI1
LOC105346124	myb/SANT-like DNA-binding domain-containing protein 4
LOC105318481	uncharacterized LOC105318481
LOC105318462	uncharacterized LOC105318462
LOC105318463	uncharacterized LOC105318463
LOC105318464	E3 ubiquitin-protein ligase TRIM36-like
LOC117689320	uncharacterized LOC117689320_ncRNA
LOC105320835	uncharacterized LOC105320835_ncRNA
LOC105320836	hypothetical protein
LOC105320837	mediator of RNA polymerase II transcription subunit 15
LOC105320838	uncharacterized LOC105320838
LOC105320839	leucine-rich repeat-containing protein 74B
LOC105320840	uncharacterized LOC105320840
LOC105320841	egl nine homolog 3
LOC105338168	uncharacterized LOC105338168
LOC117688812	ATP-dependent DNA helicase Q-like 3
LOC109617696	uncharacterized LOC109617696
LOC109617704	uncharacterized LOC109617704
LOC117689513	uncharacterized LOC117689513
LOC117689514	uncharacterized LOC117689514
LOC117689515	uncharacterized LOC117689515
LOC105345711	uncharacterized LOC105345711
LOC109620908	uncharacterized LOC109620908
LOC117689345	uncharacterized LOC117689345
LOC117689516	uncharacterized LOC117689516
LOC117689517	uncharacterized LOC117689517
LOC117689518	uncharacterized LOC117689518
LOC117689519	uncharacterized LOC117689519
LOC105343653	sushi, nidogen and EGF-like domain-containing protein 1
LOC105329357	fibropellin-1
LOC105336418	uncharacterized LOC105336418
LOC109619100	sushi, nidogen and EGF-like domain-containing protein 1
LOC105331075	calpain-9
LOC105331074	uncharacterized LOC105331074
LOC117689521	5-hydroxytryptamine receptor 3A-like
LOC105334130	MFS-type transporter SLC18B1-like
LOC105331068	uncharacterized LOC105331068_ncRNA
LOC109619099	cell surface hyaluronidase-like
LOC105326478	DTW domain-containing protein 2
LOC105335977	epoxide hydrolase 4
LOC105326477	MAU2 chromatid cohesion factor homolog
LOC117680407	transcriptional repressor p66-beta-like
LOC117689522	E3 ubiquitin-protein ligase NEDD4-like
LOC105326476	transcriptional repressor p66-beta
LOC105326475	E3 ubiquitin-protein ligase NEDD4
LOC105326474	histone H1-delta
LOC105347626	uncharacterized LOC105347626
LOC105346916	uncharacterized LOC105346916
LOC117689272	tripartite motif-containing protein 45-like
LOC105346915	uncharacterized LOC105346915
LOC105346914	enhancer of mRNA-decapping protein 3
LOC105346913	uncharacterized protein C1orf131 homolog
LOC105346912	GATA zinc finger domain-containing protein 14
LOC105346911	ankycorbin
LOC105346909	furin-like protease kpc-1
LOC105346908	potassium voltage-gated channel subfamily B member 2
LOC105346907	uncharacterized LOC105346907
LOC105346905	peroxisomal membrane protein 11B
LOC105346903	WD repeat-containing protein 93
LOC105346902	kelch-like protein diablo
LOC105346901	uncharacterized LOC105346901
LOC105333116	uncharacterized LOC105333116
LOC105346899	ankyrin repeat and death domain-containing protein 1A
LOC105346898	uncharacterized LOC105346898
LOC105322680	barrier-to-autointegration factor
LOC105322681	barrier-to-autointegration factor
LOC105322724	uncharacterized LOC105322724
LOC105322683	barrier-to-autointegration factor
LOC105322684	solute carrier family 35 member F6
LOC109617942	paired box protein Pax-8-like
LOC105322725	uncharacterized protein DDB_G0290685
LOC105342377	leucine-rich repeat-containing protein 74A
LOC105342376	uncharacterized LOC105342376
LOC105337045	girdin
LOC117688998	uncharacterized LOC117688998_ncRNA
LOC117688994	uncharacterized LOC117688994
LOC117688997	uncharacterized LOC117688997_ncRNA
LOC117688995	protein Hook homolog 1-like
LOC105335403	myb-like protein X
LOC117688996	uncharacterized LOC117688996_ncRNA
LOC105335402	uncharacterized LOC105335402
LOC105326614	ubiquitin carboxyl-terminal hydrolase 34
LOC105326609	complement C1q tumor necrosis factor-related protein 3
LOC105326610	uncharacterized LOC105326610
LOC105326612	glycine, glutamate and proline-rich protein
LOC117688999	uncharacterized LOC117688999_ncRNA
LOC105326613	paired box protein Pax-1
LOC105346927	uncharacterized LOC105346927
LOC105346928	proto-oncogene c-Rel
LOC105346930	exportin-5
LOC117680323	uncharacterized LOC117680323
LOC117689000	uncharacterized LOC117689000_ncRNA
LOC117689001	UDP-galactose transporter senju-like
LOC105346933	GTPase IMAP family member 4
LOC117689005	GTPase IMAP family member 4-like
LOC117689004	immune-associated nucleotide-binding protein 12-like
LOC117689002	GTPase IMAP family member 4-like
LOC117689003	GTPase IMAP family member 4-like
LOC117689006	GTPase IMAP family member 4-like
LOC117689008	uncharacterized LOC117689008_ncRNA
LOC117689007	GTPase IMAP family member 4-like
LOC117689009	uncharacterized LOC117689009_ncRNA
LOC105329594	RGM domain family member B
LOC105328574	pyroglutamyl-peptidase 1
LOC105329182	phospholipid-transporting ATPase ID
LOC105329181	uncharacterized LOC105329181
LOC117689010	uncharacterized LOC117689010
LOC105329180	countin-1
LOC105329183	uncharacterized LOC105329183
LOC105329184	ras-related protein Rab-1A
LOC105329185	SNW domain-containing protein 1
LOC105329186	aarF domain-containing protein kinase 1
LOC105329187	beta-1,4-glucuronyltransferase 1
LOC105329210	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC105329211	peripherin-2
LOC105329188	tetratricopeptide repeat protein 13
LOC105329189	methyltransferase-like protein 24
LOC105329191	fibroleukin
LOC117689011	ryncolin-1-like
LOC105330265	ryncolin-4
LOC105330266	uncharacterized LOC105330266
LOC105330267	tRNA (guanine(37)-N1)-methyltransferase-like
LOC105330271	CDK-activating kinase assembly factor MAT1
LOC105330268	potassium channel subfamily K member 1
LOC105330272	leucine-rich repeat protein 1
LOC105330270	plasminogen
LOC117689012	ficolin-2-like
LOC117689013	uncharacterized LOC117689013
LOC117689014	uncharacterized LOC117689014_ncRNA
LOC117689015	uncharacterized LOC117689015_ncRNA
LOC109620053	uncharacterized LOC109620053_ncRNA
LOC105338724	uncharacterized LOC105338724
LOC105338713	hepatocyte growth factor
LOC109620054	plasminogen
LOC105322757	galectin-9
LOC117689346	galectin-4-like
LOC105347705	galectin-5
LOC105322762	zinc finger protein 2
LOC105322761	E3 ubiquitin-protein ligase UBR2
LOC105322760	uridine diphosphate glucose pyrophosphatase NUDT14
LOC105322763	homeobox protein SIX4
LOC105322765	uncharacterized LOC105322765
LOC105335424	cdc42 homolog
LOC105335431	Fanconi anemia group M protein
LOC105335426	microtubule-associated protein 10-like
LOC105335427	28S ribosomal protein S5, mitochondrial
LOC105335428	ribokinase
Trnat-agu	NA
LOC105335429	AB hydrolase superfamily protein C1039.03
LOC105335430	ceramide glucosyltransferase
LOC105334615	uncharacterized protein C9orf85 homolog
LOC105334614	alpha/beta hydrolase domain-containing protein 17B
LOC117689016	uncharacterized LOC117689016_ncRNA
LOC105334613	homeobox protein orthopedia
LOC105334612	shiftless antiviral inhibitor of ribosomal frameshifting protein homolog
LOC105334610	uncharacterized LOC105334610
LOC105334609	collagen alpha-2(I) chain
LOC105334607	structural maintenance of chromosomes protein 5
LOC117689017	uncharacterized LOC117689017_ncRNA
LOC105317411	uncharacterized LOC105317411
LOC105317412	protein PXR1
LOC105317413	uncharacterized LOC105317413
LOC105317414	translation initiation factor IF-2-like
LOC105317415	uncharacterized LOC105317415
LOC105317416	phosphatidylinositol 3-kinase 1
LOC105317417	elongation of very long chain fatty acids protein 4
LOC105335025	bcl-2-related protein A1
LOC105335026	uncharacterized LOC105335026_ncRNA
LOC105344999	serine/arginine-rich splicing factor 4
LOC105344998	uncharacterized LOC105344998
LOC117689018	tripartite motif-containing protein 2-like
LOC117689347	probable E3 ubiquitin-protein ligase HERC1
LOC117689022	uncharacterized LOC117689022_ncRNA
LOC117689026	uncharacterized LOC117689026_ncRNA
LOC117689019	laccase-10-like
LOC117689348	uncharacterized LOC117689348
LOC117689020	uncharacterized LOC117689020
LOC117689349	probable E3 ubiquitin-protein ligase HERC1
LOC117689021	uncharacterized LOC117689021
LOC117689024	uncharacterized LOC117689024_ncRNA
LOC117689025	uncharacterized LOC117689025_ncRNA
LOC105344997	uncharacterized LOC105344997
LOC117689027	uncharacterized LOC117689027
LOC105344991	uncharacterized LOC105344991
LOC105344996	uncharacterized LOC105344996
LOC105344993	uncharacterized LOC105344993
LOC117689545	uncharacterized LOC117689545_ncRNA
LOC105344994	uncharacterized LOC105344994
LOC105344995	uncharacterized LOC105344995
LOC105346148	uncharacterized LOC105346148
LOC105328218	uncharacterized LOC105328218
LOC105324250	uncharacterized LOC105324250
LOC105328253	uncharacterized LOC105328253
LOC117689448	uncharacterized LOC117689448_ncRNA
LOC117680331	toll-like receptor 4
LOC105328215	uncharacterized LOC105328215
LOC105328214	uncharacterized LOC105328214
LOC105328252	uncharacterized LOC105328252
LOC105328212	uncharacterized LOC105328212
LOC105332646	glucose dehydrogenase [FAD, quinone]
LOC109621107	glucose dehydrogenase [FAD, quinone]
LOC105339591	uncharacterized LOC105339591
LOC105339592	uncharacterized LOC105339592
LOC117689350	ATP-dependent DNA helicase PIF1-like
LOC105339596	uncharacterized LOC105339596
LOC105339593	uncharacterized LOC105339593
LOC105339595	uncharacterized LOC105339595
LOC117688885	uncharacterized LOC117688885
LOC117688886	uncharacterized LOC117688886
LOC105339594	uncharacterized LOC105339594
LOC117688887	uncharacterized LOC117688887_ncRNA
LOC105331062	uncharacterized LOC105331062
LOC105345988	uncharacterized LOC105345988
LOC105334699	uncharacterized LOC105334699_ncRNA
LOC105331057	uncharacterized LOC105331057
LOC105331059	zinc finger CCHC domain-containing protein 9
LOC105331060	SHC-transforming protein 1
LOC105331061	regulator of nonsense transcripts 1
LOC105328584	poly(A) RNA polymerase GLD2
LOC105341325	protein hsr-9
LOC105341326	40S ribosomal protein S6
LOC105341329	uncharacterized LOC105341329_ncRNA
LOC105341327	glutaredoxin-C3
LOC105323394	glutaredoxin-C6
LOC105341330	uncharacterized LOC105341330
LOC105341331	probable G-protein coupled receptor 139
LOC105341336	ninein-like protein
LOC105341335	galactosylceramide sulfotransferase-like
LOC105341334	galactose-3-O-sulfotransferase 2-like
LOC105341337	uncharacterized LOC105341337
LOC105341338	uncharacterized LOC105341338
LOC105341339	uncharacterized LOC105341339
LOC105341340	uncharacterized LOC105341340
LOC105341341	kinesin-like protein KIF28P
LOC105341342	DNA repair protein RAD51 homolog 2
LOC105322973	pinin
LOC105322974	trafficking protein particle complex subunit 6b
LOC105341344	sodium-dependent phosphate transport protein 2B
LOC117688889	uncharacterized LOC117688889_ncRNA
LOC105341345	sodium-dependent phosphate transport protein 2B
LOC105341365	sodium-dependent phosphate transport protein 2B
LOC105341347	2-aminoethylphosphonate--pyruvate transaminase
LOC105341348	proteasome subunit alpha type-3
LOC105341349	CSC1-like protein 2
Trnat-ggu_6	NA
LOC105341351	gamma-butyrobetaine dioxygenase-like
LOC105341352	serum response factor
LOC105341353	glutaminyl-peptide cyclotransferase
LOC105324541	poly(A) polymerase type 3
LOC105324542	seipin
LOC105324543	menin
LOC105322353	cleft lip and palate transmembrane protein 1 homolog
LOC109617906	neuronal acetylcholine receptor subunit alpha-9-like
LOC105322322	neuronal acetylcholine receptor subunit alpha-9
LOC105341969	uncharacterized LOC105341969
LOC117688890	wnt inhibitory factor 1-like
LOC117688891	uncharacterized LOC117688891
LOC105348641	uncharacterized LOC105348641
LOC117688895	uncharacterized LOC117688895
LOC117688894	uncharacterized LOC117688894
LOC117688893	uncharacterized LOC117688893
LOC105348642	uncharacterized LOC105348642
LOC117688892	uncharacterized LOC117688892
LOC105326363	uncharacterized LOC105326363
LOC117689351	uncharacterized LOC117689351
LOC105320732	uncharacterized LOC105320732
LOC105319344	cleavage and polyadenylation specificity factor subunit 2
LOC105317882	neuropeptide F receptor
LOC105319345	uncharacterized LOC105319345
LOC105319346	uncharacterized LOC105319346
LOC105319347	DNA mismatch repair protein Msh3
LOC105319348	uncharacterized LOC105319348
LOC105319349	uncharacterized LOC105319349
LOC109617517	hypothetical protein
LOC105319350	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
LOC105319352	peroxisome assembly factor 2
LOC117689419	integrase/recombinase xerD homolog
LOC105342136	uncharacterized LOC105342136_ncRNA
LOC117689420	uncharacterized LOC117689420
LOC109620430	uncharacterized LOC109620430_ncRNA
LOC105342139	uncharacterized LOC105342139
LOC117689421	uncharacterized LOC117689421
LOC117689422	zinc finger MYM-type protein 1-like
LOC117689153	uncharacterized LOC117689153_ncRNA
LOC105322480	uncharacterized LOC105322480_ncRNA
LOC117689313	uncharacterized LOC117689313_ncRNA
LOC105322482	uncharacterized LOC105322482
LOC105322481	uncharacterized LOC105322481_misc_RNA
LOC105344266	CD109 antigen
LOC105327132	uncharacterized LOC105327132
LOC117688970	uncharacterized LOC117688970_ncRNA
LOC117688971	uncharacterized LOC117688971_ncRNA
LOC105318372	uncharacterized LOC105318372
LOC105321290	uncharacterized LOC105321290
LOC117689352	micronuclear linker histone polyprotein-like
LOC109617170	uncharacterized LOC109617170
LOC117688972	uncharacterized LOC117688972
LOC105323538	uncharacterized LOC105323538_ncRNA
LOC117688973	uncharacterized LOC117688973
LOC105320193	uncharacterized LOC105320193_transcript variant X1, misc_RNA
LOC105332151	translin-associated protein X
LOC105332113	kinesin-like protein KIF16B
LOC105332114	phosphatidylinositol-glycan biosynthesis class F protein
LOC105332115	uncharacterized LOC105332115_ncRNA
LOC105332116	F-box only protein 2
LOC105332117	protein DEFECTIVE IN EXINE FORMATION 1
LOC105332119	uncharacterized LOC105332119
LOC117688974	uncharacterized LOC117688974
LOC105332120	transmembrane protein 229B
LOC105332121	DDB1- and CUL4-associated factor 4
LOC105332122	protein angel homolog 2
LOC105332125	tubulinyl-Tyr carboxypeptidase 2
LOC105332124	ergosterol biosynthetic protein 28 homolog
LOC105332123	multidrug resistance-associated protein 7
LOC105332126	transmembrane protein 246-like
LOC105332127	uncharacterized LOC105332127_ncRNA
LOC105332128	ribosomal protein S6 kinase alpha-5
LOC105332130	prolyl-tRNA synthetase associated domain-containing protein 1
LOC105332129	glycogen phosphorylase, muscle form-like
LOC117688975	uncharacterized LOC117688975_ncRNA
LOC117688976	uncharacterized LOC117688976_ncRNA
LOC105332131	RNA polymerase II-associated factor 1 homolog
LOC105332132	mediator of RNA polymerase II transcription subunit 29
LOC105332133	nucleic acid dioxygenase ALKBH1
LOC105332134	neutral and basic amino acid transport protein rBAT
LOC105341826	neutral and basic amino acid transport protein rBAT
LOC105333357	neutral and basic amino acid transport protein rBAT
LOC105333358	stress-induced-phosphoprotein 1
LOC105333359	forkhead box protein N3
LOC105333361	uncharacterized LOC105333361_ncRNA
LOC105333362	diphthine--ammonia ligase
LOC105333363	golgin subfamily A member 5
LOC105333364	alpha-soluble NSF attachment protein
LOC105333371	uncharacterized LOC105333371
LOC109619404	uncharacterized LOC109619404
LOC117689354	tyrosine kinase receptor Cad96Ca-like
LOC105333366	bone morphogenetic protein 2
LOC105333367	uncharacterized LOC105333367
LOC117689356	F-box/WD repeat-containing protein 7-like
LOC105333369	cyclin-dependent kinase inhibitor 3
LOC105326896	protein PET117 homolog, mitochondrial
LOC105326760	alpha-actinin
LOC105338759	uncharacterized LOC105338759
LOC105336849	multiple epidermal growth factor-like domains protein 10
LOC117688977	coadhesin-like
LOC105348773	zonadhesin
LOC105345064	D-galactoside-specific lectin-like
LOC105345065	uncharacterized LOC105345065
LOC105345066	uncharacterized LOC105345066
LOC105343229	serine/threonine-protein kinase ULK4
LOC105343230	aldose 1-epimerase
LOC105343231	zinc finger protein 449
LOC109620586	uncharacterized LOC109620586_ncRNA
LOC105339961	acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like
LOC105317570	centromere/kinetochore protein zw10 homolog
LOC109617288	uncharacterized LOC109617288
LOC105324296	mortality factor 4-like protein 1
LOC105335272	MAGUK p55 subfamily member 5
LOC105335274	homeobox protein Nkx-2.2a
LOC117688978	uncharacterized LOC117688978_ncRNA
LOC105335279	uncharacterized LOC105335279
LOC117689357	putative protein TPRXL
LOC117688979	uncharacterized LOC117688979_ncRNA
LOC105335281	uncharacterized LOC105335281
LOC105335282	coadhesin
LOC117688981	uncharacterized LOC117688981_ncRNA
LOC117688980	uncharacterized LOC117688980_ncRNA
LOC105335283	coadhesin-like
LOC105335311	uncharacterized LOC105335311_ncRNA
LOC105324963	elastin-like
LOC105324953	elastin
LOC109618325	uncharacterized LOC109618325_ncRNA
LOC105342102	acanthoscurrin-1-like
LOC117688982	uncharacterized LOC117688982_ncRNA
LOC105324952	ATP-dependent RNA helicase glh-2-like
LOC105342101	glycine-rich cell wall structural protein 1
LOC105324951	ATP-dependent RNA helicase glh-2
LOC117688983	uncharacterized LOC117688983
LOC117688984	uncharacterized LOC117688984
LOC105324962	major facilitator superfamily domain-containing protein 12
LOC105324950	solute carrier family 25 member 46
LOC105324949	ras-related protein Rab-13
LOC105321940	lactoylglutathione lyase-like
Trnaa-agc_21	NA
LOC105324947	CD151 antigen
